marker,chr,pos,lod
c3.loc55,3,57.2,0.093188835621504
D3Mit44,3,57.9000000004,0.0895475587906844
c3.loc56,3,58.2,0.0868493787892248
c3.loc57,3,59.2,0.0774887318320339
c3.loc58,3,60.2,0.0677187837302995
c3.loc59,3,61.2,0.0577982714848417
c3.loc60,3,62.2,0.0480192450767163
c3.loc61,3,63.2,0.0386832124560783
c3.loc62,3,64.2,0.0300653863256457
c3.loc63,3,65.2,0.0224095671661075
c3.loc64,3,66.2,0.0158664701726252
D3Mit19,3,66.7000000005,0.0130403524382814
D4Mit149,4,0,2.09932784354453
c4.loc1,4,1,2.35380174277367
c4.loc2,4,2,2.61739000953781
c4.loc3,4,3,2.88600852309264
c4.loc4,4,4,3.15564241437653
c4.loc5,4,5,3.42267217089778
c4.loc6,4,6,3.68404352031689
c4.loc7,4,7,3.93729516678019
c4.loc8,4,8,4.18049484768221
c4.loc9,4,9,4.41213258820773
c4.loc10,4,10,4.63100360278236
c4.loc11,4,11,4.83609683441188
c4.loc12,4,12,5.02649450223498
c4.loc13,4,13,5.20128099971004
c4.loc14,4,14,5.35946100199652
D4Mit41,4,14.2000000001,5.38900658349763
c4.loc15,4,15,5.52123017753587
c4.loc16,4,16,5.53412609828655
D4Mit108,4,16.4000000002,5.4956376891958
c4.loc17,4,17,6.55994531998073
D4Mit237,4,17.5000000003,6.55543528194147
c4.loc18,4,18,6.53298913072416
D4Mit286,4,18.6000000004,6.50458031638925
c4.loc19,4,19,6.56182600523221
c4.loc20,4,20,6.67567273122035
c4.loc21,4,21,6.75369981697418
D4Mit214,4,21.9000000005,6.79685289727269
c4.loc22,4,22,6.74610023343456
c4.loc23,4,23,5.84244112020599
D4Mit53,4,23.0000000006,5.84244111913023
D4Mit89,4,23.0000000007,5.84244111912955
c4.loc24,4,24,6.1785592327455
c4.loc25,4,25,6.24525819405699
D4Mit111,4,25.1000000008,6.23411860987591
c4.loc26,4,26,6.26931042260702
c4.loc27,4,27,6.298309763276
c4.loc28,4,28,6.31848303717584
D4Mit288,4,28.4000000009,6.32439508264093
c4.loc29,4,29,7.52907308635207
D4Mit164,4,29.500000001,8.08900523619695
c4.loc30,4,30,7.64214306392546
D4Mit178,4,30.6000000011,6.39914256889216
c4.loc31,4,31,6.36841377134954
D4Mit80,4,31.7000000012,5.15294535574242
D4Mit81,4,31.7000000013,5.15294535574105
c4.loc32,4,32,5.13387379759803
D4Mit276,4,32.8000000014,4.898207156301
c4.loc33,4,33,4.87571168094257
D4Mit152,4,33.9000000015,4.76828714908692
c4.loc34,4,34,4.69901915986344
c4.loc35,4,35,3.75657992375056
D4Mit302,4,35.0000000016,3.75657992177531
c4.loc36,4,36,3.7085183746529
c4.loc37,4,37,3.65567515318213
c4.loc38,4,38,3.59792934219348
c4.loc39,4,39,3.53516831488815
c4.loc40,4,40,3.46728850363701
c4.loc41,4,41,3.39419718881817
c4.loc42,4,42,3.31581558855788
c4.loc43,4,43,3.23208443893913
c4.loc44,4,44,3.14297353948245
c4.loc45,4,45,3.04849759043015
c4.loc46,4,46,2.94874163948487
c4.loc47,4,47,2.84389955811059
D4Mit175,4,47.0000000017,2.84389955792818
c4.loc48,4,48,2.94457014109781
c4.loc49,4,49,3.01894172900063
c4.loc50,4,50,3.06209856543518
c4.loc51,4,51,3.07066152408078
c4.loc52,4,52,3.04288502346441
c4.loc53,4,53,2.97868058436552
c4.loc54,4,54,2.87969316463762
c4.loc55,4,55,2.74945923180297
c4.loc56,4,56,2.59353958929728
D4Mit16,4,56.8000000018,2.45525918404059
c4.loc57,4,57,2.46625741877199
c4.loc58,4,58,2.51802027919024
c4.loc59,4,59,2.56363193281908
c4.loc60,4,60,2.60213637287063
c4.loc61,4,61,2.63272182223807
c4.loc62,4,62,2.6547354441837
c4.loc63,4,63,2.66768862488334
c4.loc64,4,64,2.67125137393123
c4.loc65,4,65,2.66524409740811
c4.loc66,4,66,2.64962925895213
c4.loc67,4,67,2.624505587714
c4.loc68,4,68,2.59010599525629
c4.loc69,4,69,2.54679913978748
c4.loc70,4,70,2.49509342088601
c4.loc71,4,71,2.43564105815472
c4.loc72,4,72,2.36923887166199
c4.loc73,4,73,2.29682171761107
c4.loc74,4,74,2.21944459694566
D4Mit14,4,74.3000000019,2.1954338123366
D5Mit193,5,0,0.372734066081364
c5.loc1,5,1,0.366157143175997
c5.loc2,5,2,0.348861275535398
c5.loc3,5,3,0.321126220343956
c5.loc4,5,4,0.285040924687792
c5.loc5,5,5,0.24414562625293
D5Mit61,5,5.5000000001,0.223166718534912
c5.loc6,5,6,0.205599579190732
c5.loc7,5,7,0.171705281218919
c5.loc8,5,8,0.139937763006628
c5.loc9,5,9,0.11083091963684
c5.loc10,5,10,0.0848386096057538
D5Mit387,5,10.9000000002,0.0643871361286301
c5.loc11,5,11,0.0657157791242753
c5.loc12,5,12,0.0796475282811002
c5.loc13,5,13,0.0946172446753053
c5.loc14,5,14,0.110416818313524
D5Mit148,5,14.2000000003,0.113657471549743
c5.loc15,5,15,0.148829284686542
D5Mit13,5,15.3000000004,0.162512582503552
c5.loc16,5,16,0.201980929224703
c5.loc17,5,17,0.259663542880503
c5.loc18,5,18,0.311813049528553
D5Mit55,5,18.6000000005,0.33748037530836
c5.loc19,5,19,0.317702900546351
c5.loc20,5,20,0.268628211616885
c5.loc21,5,21,0.220767298205999
c5.loc22,5,22,0.17507800533258
c5.loc23,5,23,0.13261867868539
c5.loc24,5,24,0.0944924664750033
c5.loc25,5,25,0.0617715398716427
c5.loc26,5,26,0.0354013763749776
c5.loc27,5,27,0.0160983251984135
c5.loc28,5,28,0.00428495515427585
c5.loc29,5,29,0.0000209048617421104
c5.loc30,5,30,0.00303791496497752
c5.loc31,5,31,0.0127851970628399
c5.loc32,5,32,0.0285101319961427
D5Mit312,5,32.8000000006,0.04481276283434
c5.loc33,5,33,0.0462851398519888
c5.loc34,5,34,0.0540666797875815
c5.loc35,5,35,0.0625419393445554
c5.loc36,5,36,0.0716939072812011
c5.loc37,5,37,0.081498140063843
c5.loc38,5,38,0.091907187817867
c5.loc39,5,39,0.102871164728242
c5.loc40,5,40,0.114326973562129
c5.loc41,5,41,0.126202447577668
c5.loc42,5,42,0.138418273539173
c5.loc43,5,43,0.150890198537638
c5.loc44,5,44,0.16353137598378
c5.loc45,5,45,0.176254704497751
c5.loc46,5,46,0.188975027156914
c5.loc47,5,47,0.201611083871001
c5.loc48,5,48,0.214087141622429
c5.loc49,5,49,0.226334261095303
c5.loc50,5,50,0.238291189729466
c5.loc51,5,51,0.249903488220127
D5Mit188,5,51.4000000007,0.254443016069388
c5.loc52,5,52,0.264461820558267
c5.loc53,5,53,0.281109084733089
c5.loc54,5,54,0.297563014194679
c5.loc55,5,55,0.313684233730669
c5.loc56,5,56,0.329341122918777
c5.loc57,5,57,0.34441446847103
c5.loc58,5,58,0.358799854391123
c5.loc59,5,59,0.37240833891002
c5.loc60,5,60,0.385170837259466
D5Mit213,5,60.1000000008,0.386398248774299
c5.loc61,5,61,0.530741348995889
c5.loc62,5,62,0.711066255904086
c5.loc63,5,63,0.89844660161674
c5.loc64,5,64,1.08011097238426
c5.loc65,5,65,1.24798322253162
c5.loc66,5,66,1.39808973788922
D5Mit31,5,66.7000000009,1.49175813121457
c5.loc67,5,67,1.50326265775857
c5.loc68,5,68,1.53459588673184
c5.loc69,5,69,1.5554602393828
c5.loc70,5,70,1.56645594485803
c5.loc71,5,71,1.56825376537614
c5.loc72,5,72,1.56150481821555
c5.loc73,5,73,1.54681316110504
D5Mit99,5,73.200000001,1.54297209352075
c5.loc74,5,74,1.41237254395946
D5Mit101,5,74.3000000011,1.35371497471067
c5.loc75,5,75,1.36686213555299
c5.loc76,5,76,1.36326264037672
c5.loc77,5,77,1.33226349605343
D5Mit409,5,77.6000000012,1.3007088801636
c5.loc78,5,78,1.32326190044597
c5.loc79,5,79,1.36382761203078
c5.loc80,5,80,1.38153317241364
c5.loc81,5,81,1.37672870477036
c5.loc82,5,82,1.35023667740478
D5Mit169,5,82.0000000013,1.35023667735703
D6Mit86,6,0,0.127204027521486
c6.loc1,6,1,0.189850736524932
c6.loc2,6,2,0.267958850746595
c6.loc3,6,3,0.358928395867736
c6.loc4,6,4,0.457145138547787
c6.loc5,6,5,0.554917554293411
c6.loc6,6,6,0.644476165579533
c6.loc7,6,7,0.719789252634257
c6.loc8,6,8,0.777525942417299
c6.loc9,6,9,0.817094584229267
D6Mit273,6,9.8000000001,0.836671868479755
c6.loc10,6,10,0.855679767281458
c6.loc11,6,11,0.952410226342863
c6.loc12,6,12,1.05068701198496
c6.loc13,6,13,1.14875300666057
c6.loc14,6,14,1.24495472538956
c6.loc15,6,15,1.33785368283435
c6.loc16,6,16,1.42628639230958
c6.loc17,6,17,1.50936944305147
c6.loc18,6,18,1.58646924581319
c6.loc19,6,19,1.65716387461555
c6.loc20,6,20,1.72119967179498
c6.loc21,6,21,1.77845393024694
D6Mit188,6,21.9000000002,1.8241655274972
c6.loc22,6,22,1.83258905325215
c6.loc23,6,23,1.8876063469458
c6.loc24,6,24,1.90152260353301
c6.loc25,6,25,1.88589037147216
D6Mit8,6,25.1000000003,1.88297980800172
c6.loc26,6,26,1.73911830379086
c6.loc27,6,27,1.55034147910794
c6.loc28,6,28,1.33269732682737
c6.loc29,6,29,1.09421645935947
D6Mit213,6,29.5000000004,0.972535887492938
c6.loc30,6,30,0.998496225447809
c6.loc31,6,31,1.04770345728843
c6.loc32,6,32,1.09212001691077
c6.loc33,6,33,1.13041822788597
c6.loc34,6,34,1.16142620548663
c6.loc35,6,35,1.18418495890421
c6.loc36,6,36,1.19799193597453
c6.loc37,6,37,1.20243765849648
c6.loc38,6,38,1.19744128785544
c6.loc39,6,39,1.18328547752924
c6.loc40,6,40,1.16064143114505
D6Mit36,6,40.4000000005,1.14943155390108
c6.loc41,6,41,1.15834186129246
c6.loc42,6,42,1.16817341473927
c6.loc43,6,43,1.17096179328945
c6.loc44,6,44,1.16599125604904
c6.loc45,6,45,1.15279777052768
c6.loc46,6,46,1.13122259864349
c6.loc47,6,47,1.10144809687398
c6.loc48,6,48,1.06401097799039
c6.loc49,6,49,1.01978814838839
c6.loc50,6,50,0.969950854623107
c6.loc51,6,51,0.915886038872543
D6Mit135,6,51.4000000006,0.893410593015972
c6.loc52,6,52,0.912300453894204
c6.loc53,6,53,0.930586820130259
c6.loc54,6,54,0.931815958970276
c6.loc55,6,55,0.916640389936163
c6.loc56,6,56,0.88687535021387
D6Mit59,6,56.8000000007,0.854353563779341
c6.loc57,6,57,0.868933856740171
c6.loc58,6,58,0.938207907968774
c6.loc59,6,59,0.998280776389038
c6.loc60,6,60,1.0452841206918
c6.loc61,6,61,1.07633774737945
c6.loc62,6,62,1.08986682349052
c6.loc63,6,63,1.08570952581528
D6Mit295,6,63.4000000008,1.07932284661683
c6.loc64,6,64,0.982660292843491
c6.loc65,6,65,0.776240878761939
D6Mit201,6,65.6000000009,0.630038559397121
c6.loc66,6,66,0.652367139613091
D6Mit15,6,66.700000001,0.663081570964664
D7Mit306,7,1.1,0.137694648844331
c7.loc1,7,2.1,0.141266235719058
c7.loc2,7,3.1,0.144057112157441
c7.loc3,7,4.1,0.145916787906344
c7.loc4,7,5.1,0.146720378077021
c7.loc5,7,6.1,0.146381480643754
c7.loc6,7,7.1,0.144862648499611
c7.loc7,7,8.1,0.142181842812931
c7.loc8,7,9.1,0.138413638257475
c7.loc9,7,10.1,0.133684500815264
c7.loc10,7,11.1,0.128162246101681
c7.loc11,7,12.1,0.122040842326612
c7.loc12,7,13.1,0.115522392993057
D7Mit25,7,13.1000000001,0.115522392992034
c7.loc13,7,14.1,0.134977118538643
c7.loc14,7,15.1,0.155864365790933
c7.loc15,7,16.1,0.177951962614088
c7.loc16,7,17.1,0.200959299626788
c7.loc17,7,18.1,0.224563537093275
c7.loc18,7,19.1,0.248418917846493
c7.loc19,7,20.1,0.272175963622487
c7.loc20,7,21.1,0.29549970008469
c7.loc21,7,22.1,0.318084958887539
c7.loc22,7,23.1,0.339667620669786
c7.loc23,7,24.1,0.360031491983307
c7.loc24,7,25.1,0.3790104584549
c7.loc25,7,26.1,0.396491363873736
D7Mit297,7,26.2000000002,0.398153958993021
c7.loc26,7,27.1,0.307886749282034
c7.loc27,7,28.1,0.189227772646689
D7Mit30,7,28.4000000003,0.155775416744063
c7.loc28,7,29.1,0.13958561186837
c7.loc29,7,30.1,0.117521410958773
c7.loc30,7,31.1,0.0969106191448645
c7.loc31,7,32.1,0.0779678433954132
c7.loc32,7,33.1,0.0608861909896063
c7.loc33,7,34.1,0.0458248666992063
c7.loc34,7,35.1,0.0328982649141949
c7.loc35,7,36.1,0.0221684120172085
c7.loc36,7,37.1,0.0136422201557593
D7Mit37,7,37.2000000004,0.0129094555825873
c7.loc37,7,38.1,0.0108082742580109
c7.loc38,7,39.1,0.00855818032169964
c7.loc39,7,40.1,0.00645014540543798
c7.loc40,7,41.1,0.00454375308970612
c7.loc41,7,42.1,0.00290030996666246
c7.loc42,7,43.1,0.00157602171395865
c7.loc43,7,44.1,0.000631770921131647
c7.loc44,7,45.1,0.000105174917678141
c7.loc45,7,46.1,0.0000230305367949768
c7.loc46,7,47.1,0.000395259573963358
c7.loc47,7,48.1,0.00121396795213968
c7.loc48,7,49.1,0.00246034912413506
c7.loc49,7,50.1,0.00408209712406915
c7.loc50,7,51.1,0.00602872510631869
c7.loc51,7,52.1,0.00823818044011659
c7.loc52,7,53.1,0.0106453644777957
D7Mit71,7,53.6000000005,0.0119029926767098
c7.loc53,7,54.1,0.0268882161057036
c7.loc54,7,55.1,0.0725437381146321
D7Nds4,7,55.6000000006,0.0994136713258627
D8Mit3,8,6.6,0.0564239805624993
c8.loc1,8,7.6,0.0512120913318768
c8.loc2,8,8.6,0.0459799699740984
c8.loc3,8,9.6,0.0407879440342072
c8.loc4,8,10.6,0.0356997077971641
c8.loc5,8,11.6,0.0307799725142104
c8.loc6,8,12.6,0.026091841285961
c8.loc7,8,13.6,0.0216941128963981
c8.loc8,8,14.6,0.0176322112428124
c8.loc9,8,15.6,0.0139642021503619
c8.loc10,8,16.6,0.0107135685466346
c8.loc11,8,17.6,0.00790105414915843
c8.loc12,8,18.6,0.00553589699728718
c8.loc13,8,19.6,0.00361632143665247
D8Mit292,8,19.7000000001,0.00344849805298963
c8.loc14,8,20.6,0.00328115031817333
c8.loc15,8,21.6,0.00308487537023439
c8.loc16,8,22.6,0.00287933667351581
c8.loc17,8,23.6,0.00266659951057591
c8.loc18,8,24.6,0.00244907486069224
c8.loc19,8,25.6,0.00222942931594616
c8.loc20,8,26.6,0.00201047431659163
c8.loc21,8,27.6,0.00179504414279563
c8.loc22,8,28.6,0.00158587270016142
c8.loc23,8,29.6,0.00137808569149911
c8.loc24,8,30.6,0.00119066576996829
c8.loc25,8,31.6,0.00101579592887902
c8.loc26,8,32.6,0.000854757498018444
c8.loc27,8,33.6,0.000708445097359345
D8Mit25,8,33.9000000002,0.000667508795856975
c8.loc28,8,34.6,0.0000588802433298952
c8.loc29,8,35.6,0.000356807947753168
c8.loc30,8,36.6,0.00210607589042411
c8.loc31,8,37.6,0.00529878946503004
c8.loc32,8,38.6,0.00983412332095668
c8.loc33,8,39.6,0.0155256591150419
D8Mit45,8,40.4000000003,0.0207480188097406
c8.loc34,8,40.6,0.0231640195386831
c8.loc35,8,41.6,0.0375053193949384
